Account Name,Type,Industry,Active Client,Open Opps,Closed/Won Opps,Latest Opp Stage,Latest Opp Close Date
Ally Financial Inc.,Customer,Lender - Automotive,Yes,2,1,Negotiation,2029-02-05
AmeriCredit Financial Services Inc. (dba GM Financial),Customer,Lender - Automotive,Yes,2,2,Negotiation,2028-01-01
Arra Finance  LLC (fka Crescent Bank),Customer,Lender - Automotive,Yes,2,3,Negotiation,2027-04-16
C&F Finance Company,Customer,Lender - Automotive,Yes,1,0,Qualifying,2026-12-31
Capital One Services  LLC,Customer,Banking,Yes,4,0,Developing,2027-01-01
Carvant Financial LLC,Customer,,Yes,3,1,Negotiation,2027-06-01
CIG Financial  LLC (dba AutoNation Finance),Customer,Lender - Automotive,Yes,3,2,Negotiation,2026-11-01
Consumer Portfolio Services Inc. (dba CPS),Customer,Lender - Automotive,Yes,2,2,Negotiation,2026-11-01
DriveTime Car Sales Company  LLC,Customer,Lender - Automotive,Yes,2,2,Negotiation,2027-10-01
Exeter Finance LLC,Customer,Lender - Automotive,Yes,3,1,Negotiation,2027-12-01
Finbe  Inc.,Customer,Lender - Automotive,Yes,0,2,Closed/Lost,2025-12-31
First Community Credit Union (FCCU),Customer,,Yes,2,1,Negotiation,2027-08-01
First Help Financial,Customer,Lender - Automotive,Yes,1,2,Negotiation,2026-11-13
Global Lending Services LLC,Customer,Lender - Automotive,Yes,4,1,Developing,2027-06-01
GoFi  LLC (DriveTime),Customer,Lender - Automotive,Yes,3,2,Negotiation,2027-01-01
InnoFi Auto Finance,Customer,,Yes,2,2,Negotiation,2026-09-01
Ironhorse Funding LLC,Customer,,Yes,1,1,Developing,2027-06-01
JPMorgan Chase Bank  N.A. (dba JPMC),Customer,Banking,Yes,4,1,Negotiation,2027-06-01
One Source Financial,Customer,,Yes,1,0,Qualifying,2026-12-30
Origence:4Front Credit Union,Customer,,Yes,1,1,Developing,2027-12-01
Origence:America First Credit Union,Customer,,Yes,1,3,Negotiation,2026-12-17
Origence:Apple Federal Credit Union,Customer,,Yes,1,1,Negotiation,2026-10-27
Origence:BluCurrent Credit Union,Customer,,Yes,1,1,Developing,2028-06-01
Origence:Chartway Federal Credit Union,Customer,,Yes,3,1,Developing,2026-12-31
Origence:Consumers Credit Union (CCU),Customer,Lender - Automotive,Yes,0,2,Closed/Won,2025-12-22
Origence:Credit Union of America (CUA),Customer,,Yes,1,1,Developing,2027-05-01
Origence:Credit Union of Colorado,Customer,,Yes,0,2,Closed/Won,2026-04-06
Origence:Cyprus Credit Union,Customer,,Yes,1,1,Developing,2028-07-01
Origence:Financial Center First Credit Union,Customer,,Yes,1,1,Developing,2028-05-01
Origence:Financial Horizons Credit Union,Customer,,Yes,1,1,Developing,2028-04-01
Origence:Global Credit Union,Customer,,Yes,1,1,Developing,2028-02-01
Origence:Golden 1 Credit Union,Customer,,Yes,1,1,Developing,2027-12-01
Origence:Harborstone Credit Union,Customer,,Yes,1,1,Developing,2028-01-01
Origence:Industrial Credit Union of Whatcom,Customer,,Yes,1,1,Negotiation,2026-12-31
Origence:Maps Credit Union,Customer,,Yes,1,1,Developing,2027-11-01
Origence:Matanuska Valley Federal Credit Union,Customer,,Yes,1,1,Developing,2027-11-01
Origence:Mid Oregon Credit Union,Customer,,Yes,1,1,Developing,2027-11-01
Origence:Mountain America Credit Union,Customer,,Yes,0,2,Closed/Won,2026-03-31
Origence:OnPoint Community Credit Union,Customer,,Yes,1,1,Developing,2027-04-01
Origence:Oregon State Credit Union,Customer,,Yes,1,1,Developing,2027-07-01
Origence:Pacific Northwest Federal Credit Union (PNWFCU),Customer,,Yes,1,1,Developing,2027-04-01
Origence:Patelco Credit Union,Customer,,Yes,1,1,Developing,2028-08-01
Origence:Radifi Credit Union,Customer,,Yes,0,2,Closed/Won,2026-01-03
Origence:SELCO Community Credit Union,Customer,,Yes,1,1,Developing,2028-09-01
Origence:Silver State Schools Credit Union,Customer,,Yes,1,1,Negotiation,2026-11-09
Origence:Sound Credit Union,Customer,,Yes,1,1,Negotiation,2026-07-03
Origence:Summit Credit Union,Customer,,Yes,1,1,Developing,2028-07-01
Origence:Telhio Credit Union,Customer,,Yes,1,1,Developing,2028-05-01
Origence:Travis Credit Union,Customer,,Yes,0,2,Closed/Won,2025-12-31
Origence:Whatcom Educational Credit Union,Customer,,Yes,1,1,Developing,2027-08-01
PenAir Credit Union,Customer,,Yes,1,2,Negotiation,2026-11-10
Prestige Financial Services,Customer,Lender - Automotive,Yes,0,3,Closed/Disengaged,2025-12-19
Promise Network Inc.,Customer,,Yes,0,4,Closed/Disengaged,2026-12-31
Southern Auto Finance Company  LLC (dba SAFCO),Customer,Lender - Automotive,Yes,1,2,Negotiation,2027-08-27
Stellantis Financial Services  Inc.,Customer,,Yes,4,1,Developing,2026-10-01
Suncoast Credit Union,Customer,,Yes,3,2,Negotiation,2027-03-31
The Credit Union Loan Source  LLC (dba Cinch Auto Finance),Customer,Lender - Automotive,Yes,1,1,Negotiation,2028-11-21
The Hankey Group (Westlake Services LLC dba Westlake Financial Services),Customer,Finance,Yes,1,2,Developing,2026-09-30
The Savings Group  Inc.,Customer,,Yes,0,3,Closed/Won,2026-04-01
TrueCar  Inc.,Customer,,Yes,1,3,Negotiation,2026-12-31
Truv  Inc.,Customer,Technology,Yes,1,4,Negotiation,2026-07-15
UnderdogTechnologies Inc. (dba Pinwheel),Customer,Technology,Yes,0,3,Closed/Won,2026-04-01
Veros Credit LLC,Customer,Finance,Yes,1,3,Developing,2028-05-01
Wells Fargo Bank  N.A.,Customer,Lender - Full Suite,Yes,4,1,Negotiation,2028-05-08
