Credit Union (Requested Name),Salesforce Account Name,CUSA ID
APPLE FCU,Origence:Apple Federal Credit Union,A-1364
Abbey Credit Union,Not Found,N/A
Alliant Credit Union,Origence:Alliant Credit Union,A-0237
"America's First FCU",Americas First Federal Credit Union,A-0501
American Heritage FCU,Origence:American Heritage,A-1329
Associated CU of TX,ASSOCIATED CREDIT UNION OF TEXAS,A-6279
Austin Federal Credit Union,Origence:Austin Telco FCU,A-1333
Benchmark FCU,Not Found,N/A
Beneficial State Bank,BENEFICIAL STATE BANK,A-1493
Best Financial CU,BEST FINANCIAL,A-6880
Boeing Employees CU,"Origence:BECU (Boeing Employee Credit Union)",A-0011
Capitol Credit Union,CAPITOL,A-6625
Chief Financial Credit Union,CHIEF FINANCIAL,A-6566
Commonwealth FCU,CommonWealth One Federal Credit Union,A-9930
"Consumer Portfolio Services, Inc.","Consumer Portfolio Services Inc. (dba CPS)",A-0093
Consumers Credit Union,"Origence:Consumers Credit Union (CCU)",A-0265
Consumers Credit Union - Purchase New,"Origence:Consumers Credit Union (CCU)",A-0265
Consumers Credit Union - Purchase Used,"Origence:Consumers Credit Union (CCU)",A-0265
Credit Union West,Origence:Credit Union West,A-1385
DATCU Credit Union,DATCU Credit Union,A-10112
Directions CU,DIRECTIONS,A-6142
Dover Federal Credit Union,Not Found,N/A
Energy Plus Credit Union,ENERGY PLUS,A-7539
"Exeter Finance, LLC",Exeter Finance LLC,A-0015
Financial Center First Credit Union,Origence:Financial Center First Credit Union,A-1399
Financial Partners Credit Union,Financial Partners CU,A-10493
Firefighters Community CU,Not Found,N/A
First CU (AZ),First CU,A-10466
First Florida CU,First Florida Credit Union,A-10260
First Help Financial,First Help Financial,A-0167
First Service CU (TX),FIRST SERVICE CU,A-6118
First Service FCU (OH),First Service CU,A-10444
Flagship,Flagship Credit Acceptance LLC,A-0022
"Foursight Capital, LLC",Foursight Capital,A-0487
Franklin Mint FCU,FRANKLIN MINT,A-6231
Gain Federal Credit Union,Not Found,N/A
Global Lending Services,Global Lending Services LLC,A-0028
Go Energy Financial Credit Union,GO ENERGY FINANCIAL,A-6829
Greater Texas Credit Union,Origence:Greater Texas Credit Union,A-1391
Guardian CU,Guardian CU,A-10442
Hudson Valley Credit Union,Hudson Valley Credit Union,A-0893
Island FCU,Island CU,A-10529
Kemba Roanoke FCU,KEMBA ROANOKE,A-7674
LA Federal Credit Union,Not Found,N/A
Lendbuzz Funding LLC,Lendbuzz,A-0436
Liberty Federal Credit Union,Liberty Federal Credit Union,A-10057
Lone Star Credit Union,LONE STAR,A-6721
Matadors CCU,Matadors Community CU,A-10328
Members Advantage Credit Union,MEMBERS ADVANTAGE,A-7174
Meritrust Federal Credit Union,"Meritrust CU (got merged)",A-1317
Mobility Credit Union,MOBILITY Credit Union,A-0913
Money One FCU,MONEY ONE,A-7242
Mutual 1st Federal,Not Found,N/A
MyPoint Credit Union,MYPOINT,A-6698
NASA Federal Credit Union,NASA Federal Credit Union,A-0881
North Coast CU,Not Found,N/A
Nutmeg State FCU,Nutmeg State Financial CU,A-10481
Oklahoma Educators Credit Union,Not Found,N/A
OpenRoad Lending,OpenRoad Lending,A-0776
Orion Federal Credit Union,Orion Federal Credit Union,A-0924
PSE CU,PSE CU,A-10538
PenFed Credit Union,PenFed Credit Union,A-0434
Peninsula Community FCU,Origence:Peninsula Community FCU,A-1381
Philadelphia Federal Credit Union,PHILADELPHIA,A-6340
Regional Acceptance Corporation,Regional Acceptance Corp,A-0091
Sierra Central CU,Sierra Central Credit Union,A-10135
Southwest 66 Credit Union,SOUTHWEST 66,A-6910
Tampa Bay Federal Credit Union,Tampa Bay CU,A-10486
"Tarrant County's Credit Union",TARRANT COUNTY'S CREDIT UNION,A-6776
Texas Bay Credit Union,TEXAS BAY,A-6258
Tower Federal CU,Tower FCU,A-1428
Tropical Financial CU,TROPICAL FINANCIAL,A-6178
UBI Federal Credit Union,Not Found,N/A
USE Credit Union,Not Found,N/A
Velocity CU,Velocity Credit Union,A-10083
VyStar Credit Union,VyStar CU,A-0770
Webster First FCU,WEBSTER FIRST,A-6216
Wellby Financial,Wellby Financial,A-1311
Wright Patt CU,Wright Patt Credit Union,A-0404
